POSITION_TITLE,QUALIFICATIONS,EDUCATION_TYPE,SCHOOL_TYPE,EDUCATION_MAJOR,EXPERIENCE_LENGTH,AWARDS,COMMUNITY_SERVICE,VOLUNTEERING,DRIVERS_LICENSE_AVAILABILITY,SKILLS_COUNT,SKILLS,LANGUAGES
HR ADMINISTRATOR,Dedicated Customer Service Manager with 15+ years of experience in Hospitality and Customer Service Management,Bachelor,college,,15.0,yes,no,no,no,36,"[' Accounting', 'ads', 'advertising', 'analytical skills', 'benefits', 'billing', 'budgeting', 'clients', 'Customer Service', 'data analysis', 'delivery', 'documentation', 'employee relations', 'financial management', 'government relations', 'Human Resources', 'insurance', 'labor relations', 'layout', 'Marketing', 'marketing collateral', 'medical billing', 'medical terminology', 'office', 'organizational', 'payroll', 'performance reviews', 'personnel', 'policies', 'posters', 'presentations', 'public relations', 'purchasing', 'reporting', 'statistics', 'website']",1
HR SPECIALIST,"Versatile  media professional with background in Communications, Marketing, Human Resources and Technology",Master,university,arts,5.0,no,no,no,no,40,"['Adobe Photoshop', 'ADP', 'Asset Management', 'branding', 'brochures', 'content', 'Customer Care', 'Final Cut Pro', 'graphics', 'graphic', 'HR', 'Illustrator', 'InDesign', 'Innovation', 'inventory', 'Lotus Notes', 'marketing', 'marketing materials', 'marketing material', 'materials', 'Microsoft Office', 'SharePoint', 'newsletter', 'presentations', 'process improvement', 'Project Management', 'promotional materials', 'publications', 'Quality', 'real-time', 'Recruitment', 'reporting', 'RFP', 'sales', 'stories', 'Employee Development', 'video', 'web design', 'website', 'articles']",1
HR DIRECTOR,,Master,university,science,20.0,yes,no,no,no,22,"['  Desktop Publishing', 'Newsletter productions', 'DATABASE Management', 'Leadership\n\nTraining', 'OSHA', 'FMLA', 'Workers Compensation.   PageMaker', 'Agency Automation', 'back-up', 'Benefits', 'Budget management', 'Corel Suite', 'Harvard Graphics', 'Access', 'Excel', 'Microsoft Publisher', 'MS Word', 'Quark Express', 'Quattro Pro', 'Strategic Planning', 'Web page development', '']",1
HR SPECIALIST,"Dedicated, Driven, and Dynamic with over 20 years of customer service expertise",Bachelor,,,20.0,no,no,no,no,5,"['      Type 50 wpm and 10-Key by touch  Microsoft programs Word', 'Excel', 'Access', 'Outlook', 'PowerPoint']",1
HR MANAGER,"HR SKILLS  HR Department Startup  Three New Organization Startups  Employment Law  FMLA/ADA/EEO/WC  Mediation & Advocacy  HR Policies & Procedures	*Staff Recruitment & Retention  Salary Negotiations  Employee Relations  Benefits Administration  Unemployment Administration  Worker's Compensation Administration  Orientation & On-Boarding  HRIS Technologies  Training & Development  Performance Management  Organizational Development  HR Program/Project Management  HRIS applications (Lawson, Paychex, Kronos, ADP)  MS Office (Word, Excel, PowerPoint, Publisher, Access, Visio, Outlook)                Professional Experience      HR Manager     Jan 2015   to   Current      Company Name   －   City  ,   State     Manage the Human Resource function for e-Cycle's corporate office as well as their fulfillment and data center, consisting of benefits and compensation administration, payroll, employee relations, policy compliance, and recruitment",Bachelor,university,business administration,20.0,no,no,no,no,76,"['ADA', 'ADP', 'art', 'agency', 'benefits', 'Benefits Administration', 'Coach', 'coaching', 'conflict resolution', 'continuous improvement', 'contracts', 'decision making', 'delivery', 'direction', 'Employee Relations', 'special events', 'financial', 'functional', 'Hiring', 'HRIS', 'human resource management', 'Human Resource', 'Human Resources', 'HR', 'human relations', 'Kronos', 'Lawson', 'leadership', 'leadership development', 'Law', 'legal compliance', 'Director', 'managing', 'management reporting', 'Mediation', 'Access', 'Excel', 'MS Office', 'office', 'Outlook', 'PowerPoint', 'Publisher', 'win', 'Word', 'negotiating', 'Negotiations', 'Organizational Development', 'organizational', 'payroll', 'Peak', 'Performance Management', 'personnel', 'Policies', 'problem solving', 'processes', 'Profit', 'implement programs', 'Project Management', 'quality', 'quantitative analysis', 'Recruitment', 'recruiting', 'reporting', 'safety', 'sound', 'staff development', 'staffing', 'strategy', 'Strategic', 'Structured', 'surveys', 'team- work', 'teamwork', 'Visio', 'Vision', 'workshops']",1
HR GENERALIST,"Dedicated and focused Administrative Assistant who excels at prioritizing, completing multiple tasks simultaneously and following through to achieve project goals",Bachelor,university,justice studies,21.0,no,no,yes,no,31,"['administrative', 'Administrative Assistant', 'bi', 'conferences', 'database', 'special events', 'filing', 'Human Resource Management', 'HR', 'Human Resources Management', 'Excel', 'Exchange', 'Microsoft Office', 'Office', 'Outlook', 'PowerPoint', 'Word', 'newsletter', 'Paralegal', 'Performance Management', 'processes', 'Publications', 'Recruitment', 'Strategic Planning', 'Supervisor', 'training programs', 'travel arrangements', 'Visio', 'Website', 'workshops', 'annual reports']",1
HR MANAGER,"HUMAN RESOURCES MANAGER Extensive background in administrative duties, including experience in implementing staff development and training, mediation, conflict resolution, benefits and compensation training, HR records management, HR policies development and legal compliance",Bachelor,university,science,14.0,yes,no,no,no,38,"['ADA', 'ADMINISTRATIVE SKILLS', 'administrative', 'coaching', 'Employee Relations', 'training employees', 'English', 'Special Events', 'hiring', 'HRIS', 'Human Resources', 'HR', 'InDesign', 'Leadership Development', 'Director', 'managing', 'Mediation', 'Microsoft Office Suites', 'Publisher', 'Sharepoint', 'Newsletters', 'Organizational Development', 'PeopleSoft', 'Performance Management', 'Policies', 'Project Management', 'quality', 'Quark', 'managing the restaurant', 'safety', 'scheduling', 'Spanish', 'supervision', 'Teacher', 'Teaching', 'training material', 'Web Design', 'workshops']",2
HR MANAGER,Senior HR professional with a continuous improvement approach to building and supporting organizations,Bachelor,university,science,5.0,no,no,no,no,45,"['administrative', 'ADP', 'backup', 'Benefits', 'bookkeeping', 'clarify', 'competitive', 'customer service', 'database', 'delivery', 'documentation', 'employee relations', 'filing', 'government', 'HR', 'human resources', 'human resource', 'insurance', 'job analysis', 'labor\nrelations', 'law enforcement', 'Team building', 'letters', 'market', 'meetings', 'mail', 'office', 'Payroll processing', 'payroll', 'personnel', 'policies', 'processes', 'Project management', 'proposal', 'quality', 'recruiting', 'recruitment', 'safety', 'strategy', 'employee handbooks', 'vendor\nmanagement', 'vendor\nmanagement', 'vision', 'year-end        Work History      HR Manager', '']",1
HR SPECIALIST,"Possess 15+ years of experience as an HR Classification/Compensation Lead and as an HR Specialist, Recruitment",Bachelor,university,arts,15.0,no,no,no,no,9,"['Problem-solve and serve as change agent to ensure that HR functions are included in organizational missions. Negotiate budget revisions to include HR initiatives. Ensure excellent customer service delivery', 'provide state/federal and soft-skills management/employee training. Conduct job analyses', 'as well as conduct compensation/job market analysis', 'and deliver and measure leadership training. Develop', 'implement', 'and monitor performance management. Develop', 'implement', 'and monitor personnel policies and procedures', 'and manage full']",1
HR CLERK,"Translates business vision into HR initiatives that improve performance, profitability, growth, and employee engagement",Bachelor,university,business management,31.0,no,no,no,no,34,"['accounts payable', 'administrative', 'administrative support', 'A/P', 'benefits', 'benefits administration', 'bookkeeping', 'clerical', 'Continuous Improvement', 'databases', 'employee relations', 'financial', 'functional', 'General Ledger', 'Human Resource', 'Human Resources', 'HR', 'interpretation', 'invoicing', 'legal', 'employee management', 'meetings', 'MRP', 'payroll', 'purchasing', 'receiving', 'recruitment', 'reporting', 'research', 'Safety', 'scheduling', 'secretarial', 'staffing', 'supervision']",1
